gene,T,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.1,0.1,rise,50,18,18,0,18,0,0,18,0,0,0.0420230778473877,0.0972255334046795,0.05982231366260745,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.1,rise,60,18,18,0,18,0,0,18,0,0,0.0420993904762565,0.0976695752970467,0.0613464911802648,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.1,fall,40,18,18,0,18,0,0,18,0,0,0.0495016298527852,0.1408641867968328,0.0832212836289877,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.1,fall,50,18,18,0,18,0,0,18,0,0,0.0495015697171297,0.1410930842065346,0.0778710327348418,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.1,fall,60,18,18,0,18,0,0,18,0,0,0.0495015738286497,0.1422077117350019,0.0733370705434437,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.3,rise,40,18,18,0,18,0,0,18,0,0,0.0463219225423804,0.1640814011035301,0.08896875716561875,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.3,rise,50,18,18,0,18,0,0,18,0,0,0.0465995558002977,0.1677633859066546,0.097359032144689,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.3,rise,60,18,18,0,18,0,0,18,0,0,0.0467677020205,0.1698126001849024,0.1068065102462504,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.3,fall,40,18,18,0,18,0,0,18,0,0,0.1392076899512297,0.3619325510942049,0.25814448297113385,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.3,fall,50,18,18,0,18,0,0,18,0,0,0.1391006219181836,0.3421208935966997,0.22009052976899174,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.3,fall,60,18,18,0,18,0,0,18,0,0,0.1385853238582277,0.3300998560247142,0.1905378724465778,1.0,0.0,0.0,1.0,0.0
Kr,0.1,1.0,rise,40,18,18,0,18,0,0,18,0,0,0.0516686226212509,0.2188210306381527,0.1253785727935694,1.0,0.0,0.0,1.0,0.0
Kr,0.1,1.0,rise,50,18,18,0,18,0,0,18,0,0,0.0522725206508956,0.2247706563957112,0.14294485441894836,1.0,0.0,0.0,1.0,0.0
Kr,0.1,1.0,rise,60,18,18,0,18,0,0,18,0,0,0.0526699966834923,0.2331808977166581,0.15469810921809266,1.0,0.0,0.0,1.0,0.0
Kr,0.1,1.0,fall,40,18,18,0,18,0,0,18,0,0,0.8297511930237929,1.074472127878495,0.9170995670461117,1.0,0.0,0.0,1.0,0.0
Kr,0.1,1.0,fall,50,18,18,0,18,0,0,18,0,0,0.716034957704125,0.8993729044223808,0.7836031386378222,1.0,0.0,0.0,1.0,0.0
Kr,0.1,1.0,fall,60,18,18,0,18,0,0,18,0,0,0.5650457324494547,0.7929167586307622,0.6689399510545422,1.0,0.0,0.0,1.0,0.0
Kr,0.1,3.0,rise,40,18,18,0,18,0,0,18,0,0,0.054383001881528,0.2431360924762584,0.14830507337177606,1.0,0.0,0.0,1.0,0.0
Kr,0.1,3.0,rise,50,18,18,0,18,0,0,18,0,0,0.0551884877483475,0.2501780173235335,0.1689049332314257,1.0,0.0,0.0,1.0,0.0
Kr,0.1,3.0,rise,60,18,18,0,18,0,0,18,0,0,0.0557414375425058,0.2770593810729715,0.18071922809572288,1.0,0.0,0.0,1.0,0.0
Kr,0.1,3.0,fall,40,18,18,0,18,0,0,18,0,0,2.699327501134889,3.0387270944534395,2.8341160746019183,1.0,0.0,0.0,1.0,0.0
Kr,0.1,3.0,fall,50,18,18,0,18,0,0,18,0,0,2.096703227173342,2.6785940302581484,2.2529741433027786,1.0,0.0,0.0,1.0,0.0
Kr,0.1,3.0,fall,60,18,18,0,18,0,0,18,0,0,1.603776995594902,2.3227856413460413,1.7566190950197904,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.01,rise,40,18,18,0,18,0,0,18,0,0,0.0471549167000952,0.122189881065102,0.0839816879280223,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.01,rise,50,18,18,0,18,0,0,18,0,0,0.0459177890448819,0.1228204904218088,0.08615772192140694,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.01,rise,60,18,18,0,18,0,0,18,0,0,0.0440358988500078,0.1236746779348029,0.0875930759271065,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.01,fall,40,18,18,0,18,0,0,18,0,0,0.0677754322750057,0.1318457217313478,0.0997220311056813,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.01,fall,50,18,18,0,18,0,0,18,0,0,0.0666455169557421,0.131845751007813,0.0994112795198297,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.01,fall,60,18,18,0,18,0,0,18,0,0,0.0656768263344019,0.1318457528243231,0.09845239830504901,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.03,rise,40,18,18,0,18,0,0,18,0,0,0.0663524642144381,0.122380435819291,0.09404441621290885,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.03,rise,50,18,18,0,18,0,0,18,0,0,0.0652694565349919,0.1229708228528891,0.0960164360318229,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.03,rise,60,18,18,0,18,0,0,18,0,0,0.0636625008818829,0.1238628048759563,0.09755392558623205,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.03,fall,40,18,18,0,18,0,0,18,0,0,0.0835527253373964,0.131606307536841,0.10740981869114975,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.03,fall,50,18,18,0,18,0,0,18,0,0,0.0827087603180316,0.1316063083575782,0.10727119519597669,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.03,fall,60,18,18,0,18,0,0,18,0,0,0.0820351390193164,0.1316063129938784,0.1070483826538214,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.1,rise,40,18,18,0,18,0,0,18,0,0,0.1080095804698016,0.1394416179630944,0.12145523567003375,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.1,rise,50,18,18,0,18,0,0,18,0,0,0.1081762611078669,0.1456260204669138,0.12305041745925516,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.1,rise,60,18,18,0,18,0,0,18,0,0,0.1076152376906971,0.1512146619120621,0.1241570264498307,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.1,fall,40,18,18,0,18,0,0,18,0,0,0.1339695604281936,0.1988482328478715,0.14428081906272144,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.1,fall,50,18,18,0,18,0,0,18,0,0,0.1339618775123465,0.1979837238671112,0.14150932480746514,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.1,fall,60,18,18,0,18,0,0,18,0,0,0.1329383975158506,0.1982492578493141,0.1391996687751274,1.0,0.0,0.0,1.0,0.0
