gene,mode,T,processing_mean,decay_mean,peak_fraction,dt,mass_relative_error_I,mass_relative_error_E,tail_fraction_I,tail_fraction_E,I_peak,I_flat_peak_width,I_rise_40,I_fall_40,I_upcrossings_40,I_downcrossings_40,I_rise_50,I_fall_50,I_upcrossings_50,I_downcrossings_50,I_rise_60,I_fall_60,I_upcrossings_60,I_downcrossings_60,E_peak,E_flat_peak_width,E_rise_40,E_fall_40,E_upcrossings_40,E_downcrossings_40,E_rise_50,E_fall_50,E_upcrossings_50,E_downcrossings_50,E_rise_60,E_fall_60,E_upcrossings_60,E_downcrossings_60,peak_offset,rise_40_offset,rise_40_class,rise_50_offset,rise_50_class,rise_60_offset,rise_60_class,fall_40_offset,fall_40_class,fall_50_offset,fall_50_class,fall_60_offset,fall_60_class,valid
geometry_independent,collapsed,0.0,0.01,0.3,0.75,0.001,1.734723475976807e-16,6.151046850182274e-06,0.0,2.788650245462524e-13,0.7540902134851467,0.0,0.3367598541832615,0.9011509546750652,1,1,0.38484427140095495,0.8850092961443127,1,1,0.4329221133654965,0.8688698855284381,1,1,0.8378388410788012,0.0,0.47330678187671543,1.1783325420725739,1,1,0.525125558241408,1.1113895030024752,1,1,0.5753454851317655,1.0566929740475437,1,1,0.08374862759365453,0.13654692769345395,intron_lead,0.1402812868404531,intron_lead,0.142423371766269,intron_lead,0.27718158739750864,intron_lead,0.2263802068581625,intron_lead,0.18782308851910556,intron_lead,True
geometry_independent,collapsed,0.0,0.01,1.0,0.25,0.001,6.938893903907228e-16,6.144826835922068e-06,5.037542215546943e-17,1.997392507685628e-14,0.2703276947831232,0.0,0.11868613979947151,0.6834690505038072,1,1,0.13481105678315394,0.6354348581881581,1,1,0.15092972741587646,0.587418465591007,1,1,0.704289083752632,0.0,0.27147063217000056,1.727039597228068,1,1,0.31160995419649873,1.5038960734802453,1,1,0.3546304288027482,1.32157459233516,1,1,0.4339613889695088,0.15278449237052905,intron_lead,0.17679889741334479,intron_lead,0.20370070138687174,intron_lead,1.0435705467242609,intron_lead,0.8684612152920872,intron_lead,0.7341561267441531,intron_lead,True
geometry_independent,collapsed,0.0,0.01,1.0,0.5,0.001,6.938893903907228e-16,6.144826835922068e-06,2.6928856415625282e-17,4.31585095022945e-14,0.5099952035767764,0.0,0.22775591931764125,0.7922344845816922,1,1,0.2598384086625093,0.7601519984260597,1,1,0.29191435041004815,0.7280760618099817,1,1,0.7982994983849792,0.0,0.4038156724302345,1.7868548005630829,1,1,0.4483644996032531,1.5637112898686691,1,1,0.4924063702800785,1.3813897492956038,1,1,0.28830429480820274,0.17605975311259323,intron_lead,0.1885260909407438,intron_lead,0.20049201987003035,intron_lead,0.9946203159813907,intron_lead,0.8035592914426094,intron_lead,0.653313687485622,intron_lead,True
geometry_independent,collapsed,0.0,0.01,1.0,0.75,0.001,5.204170427930421e-16,6.144826835922068e-06,3.31829716377254e-17,1.6632826859676496e-13,0.7540902134851456,0.0,0.33675985418326143,0.9011509546750653,1,1,0.38484427140095495,0.8850092961443127,1,1,0.4329221133654966,0.8688698855284381,1,1,0.8968857457365973,0.0,0.5270605275912719,1.8499524290116174,1,1,0.5810319984416585,1.6268089323329018,1,1,0.6323363087551843,1.4444874231624825,1,1,0.1427955322514517,0.19030067340801043,intron_lead,0.19618772704070359,intron_lead,0.19941419538968774,intron_lead,0.948801474336552,intron_lead,0.7417996361885891,intron_lead,0.5756175376340443,intron_lead,True
geometry_independent,collapsed,0.0,0.01,3.0,0.25,0.001,8.673617379884035e-16,6.144280623158626e-06,4.8616924786496356e-17,1.5913188889003224e-14,0.27032769478312835,0.0,0.11868613979947153,0.6834690505038072,1,1,0.13481105678315394,0.6354348581881581,1,1,0.15092972741587649,0.587418465591007,1,1,0.8153418687569696,0.0010000000000000009,0.30156816440962503,3.62735527485118,1,1,0.3484500288919235,2.957924594355041,1,1,0.39835250620576934,2.4109599187652524,1,1,0.5450141739738412,0.18288202461015352,intron_lead,0.21363897210876956,intron_lead,0.24742277878989286,intron_lead,2.9438862243473727,intron_lead,2.322489736166883,intron_lead,1.8235414531742453,intron_lead,True
geometry_independent,collapsed,0.0,0.01,3.0,0.5,0.001,8.673617379884035e-16,6.144280623011088e-06,1.1323523917962973e-17,3.491431320974727e-14,0.5099952035767764,0.0,0.22775591931764125,0.7922344845816922,1,1,0.2598384086625093,0.7601519984260597,1,1,0.2919143504100482,0.7280760618099817,1,1,0.8755745460559228,0.0010000000000000009,0.4304009783647375,3.6669473065537272,1,1,0.4781624849108214,2.9975166859112132,1,1,0.5256198816706861,2.450552015125146,1,1,0.36557934247914636,0.20264505904709626,intron_lead,0.21832407624831213,intron_lead,0.23370553126063787,intron_lead,2.874712821972035,intron_lead,2.2373646874851536,intron_lead,1.7224759533151643,intron_lead,True
geometry_independent,collapsed,0.0,0.01,3.0,0.75,0.001,8.673617379884035e-16,6.144280623011088e-06,2.911397125222847e-17,1.3643408028014983e-13,0.7540902134851422,0.0,0.3367598541832615,0.9011509546750652,1,1,0.38484427140095506,0.8850092961443127,1,1,0.4329221133654966,0.8688698855284381,1,1,0.9371351339139394,0.0,0.5508070446454341,3.7074638892186047,1,1,0.6058017475638652,3.0380331991759157,1,1,0.6576643399018178,2.4910685340836163,1,1,0.18304492042879728,0.21404719046217258,intron_lead,0.22095747616291012,intron_lead,0.22474222653632125,intron_lead,2.8063129345435396,intron_lead,2.153023903031603,intron_lead,1.622198648555178,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.01,0.25,0.001,6.144212353365967e-06,6.912238897753553e-06,2.319892884958344e-13,2.610452553225973e-13,0.3090543257427412,0.0,0.1356072380269893,0.7062917422226359,1,1,0.15246321653222691,0.6585047898010274,1,1,0.16928492130679024,0.610866544067149,1,1,0.3120613139252049,0.0,0.13798677576258067,0.708896494885532,1,1,0.15489210946065096,0.6611106712614444,1,1,0.17176228756231496,0.613477912487037,1,1,0.003006988182463699,0.0023795377355913805,small,0.002428892928424048,small,0.002477366255524721,small,0.0026047526628960593,small,0.002605881460416959,small,0.0026113684198879605,small,True
geometry_independent,collapsed,0.0,0.03,0.01,0.5,0.001,6.144212353597264e-06,6.912238897753553e-06,5.183962261998941e-13,5.833509684540996e-13,0.5296541065546501,0.0,0.24589085294226376,0.8134186260207859,1,1,0.2782537395960569,0.7810547432189945,1,1,0.3105585609510542,0.7487497293297379,1,1,0.532145716706262,0.0,0.24829697602862233,0.8159955132840564,1,1,0.2806757988060977,0.7836159086030713,1,1,0.3129933836421191,0.7512979665309458,1,1,0.0024916101516119227,0.002406123086358569,small,0.0024220592100407945,small,0.002434822691064875,small,0.002576887263270544,small,0.0025611653840768023,small,0.0025482372012078924,small,True
geometry_independent,collapsed,0.0,0.03,0.01,0.75,0.001,6.144212355331987e-06,6.912238899835221e-06,2.0677967396402582e-12,2.327098029976833e-12,0.7622310441212434,0.0,0.35523244873863663,0.9212746764358443,1,1,0.40342695204590706,0.904246726239811,1,1,0.45156277293121516,0.8872628269051612,1,1,0.7638217571903038,0.0,0.35762258241963146,0.9238366315695534,1,1,0.4058165972472425,0.9067571192183108,1,1,0.4539474349195709,0.8897244526528179,1,1,0.0015907130690603344,0.0023901336809948326,small,0.002389645201335444,small,0.0023846619883557407,small,0.0025619551337091595,small,0.0025103929784998646,small,0.002461625747656626,small,True
