gene,mode,T,processing_mean,decay_mean,peak_fraction,dt,mass_relative_error_I,mass_relative_error_E,tail_fraction_I,tail_fraction_E,I_peak,I_flat_peak_width,I_rise_40,I_fall_40,I_upcrossings_40,I_downcrossings_40,I_rise_50,I_fall_50,I_upcrossings_50,I_downcrossings_50,I_rise_60,I_fall_60,I_upcrossings_60,I_downcrossings_60,E_peak,E_flat_peak_width,E_rise_40,E_fall_40,E_upcrossings_40,E_downcrossings_40,E_rise_50,E_fall_50,E_upcrossings_50,E_downcrossings_50,E_rise_60,E_fall_60,E_upcrossings_60,E_downcrossings_60,peak_offset,rise_40_offset,rise_40_class,rise_50_offset,rise_50_class,rise_60_offset,rise_60_class,fall_40_offset,fall_40_class,fall_50_offset,fall_50_class,fall_60_offset,fall_60_class,valid
Kr,mapped,0.01,0.01,0.3,0.5,0.001,3.8799281088702913e-16,6.107509797155828e-06,3.8835486088468625e-17,7.252547093581191e-14,0.5141485628223018,0.0,0.23190537308988005,0.7963918518227587,1,1,0.26398851716793414,0.7643086104705135,1,1,0.2960650306680344,0.7322320218825145,1,1,0.6948298283602898,0.0,0.35928753498792954,1.0995375295225343,1,1,0.39848657943331534,1.0325943023857642,1,1,0.4371169689994496,0.9776574340964844,1,1,0.18068126553798802,0.1273821618980495,intron_lead,0.1344980622653812,intron_lead,0.14105193833141516,intron_lead,0.3031456776997755,intron_lead,0.26828569191525076,intron_lead,0.24542541221396996,intron_lead,True
Kr,mapped,0.01,0.01,0.3,0.75,0.001,2.586618739246861e-16,6.107509797514355e-06,0.0,2.7687134656612385e-13,0.7580903516700291,0.0,0.34090606606708895,0.9053091905606632,1,1,0.3889898984007004,0.8891652571754253,1,1,0.43706687393444016,0.8730239049761899,1,1,0.8456913834118452,0.0,0.48114681587852637,1.186223915502325,1,1,0.5329647225967772,1.119280897052518,1,1,0.5831831822299495,1.064584479275196,1,1,0.0876010317418161,0.14024074981143742,intron_lead,0.14397482419607677,intron_lead,0.1461163082955093,intron_lead,0.2809147249416619,intron_lead,0.23011563987709283,intron_lead,0.19156057429900608,intron_lead,True
Kr,mapped,0.01,0.01,1.0,0.25,0.001,5.173237478493722e-16,6.131835202036855e-06,4.046319024768597e-17,1.987990353702443e-14,0.2745303255939156,0.0010000000000000009,0.12283566731389596,0.6876270515815829,1,1,0.13896284280264964,0.6395928369597329,1,1,0.15508381774604152,0.5915766052679967,1,1,0.7121771665412175,0.0,0.27935213022942335,1.7349407100231085,1,1,0.3194919079435553,1.5117972116619964,1,1,0.36251289100855777,1.3294756987221104,1,1,0.43764684094730194,0.1565164629155274,intron_lead,0.18052906514090566,intron_lead,0.20742907326251625,intron_lead,1.0473136584415257,intron_lead,0.8722043747022635,intron_lead,0.7378990934541136,intron_lead,True
Kr,mapped,0.01,0.01,1.0,0.5,0.001,6.466546848117152e-16,6.131835202036855e-06,6.091902893305721e-17,4.313270938415679e-14,0.5141485628223066,0.0,0.23190537308988002,0.7963918518227587,1,1,0.26398851716793414,0.7643086104705133,1,1,0.2960650306680344,0.7322320218825145,1,1,0.8061893304492153,0.0,0.4116876287979433,1.7947638941142252,1,1,0.45623877387094414,1.5716203703691352,1,1,0.5002826548115985,1.3892988005555862,1,1,0.29204076762690867,0.17978225570806328,intron_lead,0.19225025670301,intron_lead,0.2042176241435641,intron_lead,0.9983720422914665,intron_lead,0.8073117598986218,intron_lead,0.6570667786730717,intron_lead,True
Kr,mapped,0.01,0.01,1.0,0.75,0.001,5.173237478493722e-16,6.131835201816935e-06,5.963924995475878e-17,1.6602632988314803e-13,0.7580903516700254,0.0,0.34090606606708884,0.9053091905606633,1,1,0.3889898984007002,0.8891652571754253,1,1,0.4370668739344401,0.8730239049761899,1,1,0.9047810068564439,0.0,0.5349250355917321,1.857886076884398,1,1,0.5888965352400651,1.634742570680064,1,1,0.6402005546722705,1.4524210401671735,1,1,0.14669065518641855,0.19401896952464326,intron_lead,0.19990663683936494,intron_lead,0.20313368073783045,intron_lead,0.9525768863237348,intron_lead,0.7455773135046387,intron_lead,0.5793971351909837,intron_lead,True
Kr,mapped,0.01,0.01,3.0,0.25,0.001,7.759856217740583e-16,6.139955976965766e-06,3.6908919848212816e-17,1.584966787775596e-14,0.2745303255939401,0.0010000000000000009,0.12283566731389595,0.6876270515815829,1,1,0.13896284280264964,0.6395928369597329,1,1,0.1550838177460415,0.5915766052679967,1,1,0.8232430943088684,0.0010000000000000009,0.309455516658904,3.6352742059298118,1,1,0.35633820407559696,2.9658435408176325,1,1,0.40624157708216097,2.418878866182371,1,1,0.5487127687149284,0.18661984934500803,intron_lead,0.21737536127294732,intron_lead,0.2511577593361195,intron_lead,2.9476471543482288,intron_lead,2.3262507038578994,intron_lead,1.8273022609143743,intron_lead,True
Kr,mapped,0.01,0.01,3.0,0.5,0.001,9.053165587364013e-16,6.139955976965766e-06,0.0,3.47930799435086e-14,0.5141485628222956,0.0,0.23190537308988005,0.7963918518227587,1,1,0.26398851716793414,0.7643086104705133,1,1,0.2960650306680344,0.7322320218825145,1,1,0.8834819144787531,0.0010000000000000009,0.43828119260452564,3.674881929735076,1,1,0.4860452033182493,3.0054512997069565,1,1,0.5335049439917449,2.45848662969091,1,1,0.36933335165645753,0.2063758195146456,intron_lead,0.22205668615031515,intron_lead,0.23743991332371045,intron_lead,2.8784900779123173,intron_lead,2.241142689236443,intron_lead,1.7262546078083953,intron_lead,True
Kr,mapped,0.01,0.01,3.0,0.75,0.001,9.053165587364013e-16,6.13995597711332e-06,1.1524296833079289e-17,1.362742830776371e-13,0.758090351670027,0.0,0.3409060660670889,0.9053091905606632,1,1,0.38898989840070036,0.8891652571754253,1,1,0.4370668739344402,0.8730239049761899,1,1,0.9450624646494357,0.0,0.5586816609147314,3.715442059804186,1,1,0.61367707767108,3.0460113666276296,1,1,0.6655401004217137,2.499046701792442,1,1,0.18697211297940863,0.21777559484764247,intron_lead,0.22468717927037968,intron_lead,0.22847322648727353,intron_lead,2.810132869243523,intron_lead,2.1568461094522045,intron_lead,1.626022796816252,intron_lead,True
Kr,mapped,0.01,0.03,0.01,0.25,0.001,5.0237280484362575e-06,6.385691374503108e-06,1.8970027825740847e-13,2.4104865291600654e-13,0.312999344637625,0.0,0.1395336803221617,0.710226085114716,1,1,0.15639180335922617,0.6624390538127323,1,1,0.17321554583988444,0.6148008601615078,1,1,0.31968060367877643,0.0,0.14560081911984857,0.7165158450095616,1,1,0.16250933754657476,0.6687295455104861,1,1,0.17938241175398614,0.6210965741469036,1,1,0.0066812590411514106,0.006067138797686861,small,0.006117534187348589,small,0.006166865914101705,small,0.006289759894845592,small,0.006290491697753864,small,0.0062957139853957456,small,True
Kr,mapped,0.01,0.03,0.01,0.5,0.001,5.023728048643928e-06,6.385691374679088e-06,4.2396393913782574e-13,5.390089554476391e-13,0.5335842588603283,0.0,0.24981727406019116,0.8173525141049471,1,1,0.282180839399593,0.7849879735743599,1,1,0.314486181058864,0.7526824085763555,1,1,0.5397617863557508,0.0,0.25590861447662366,0.8236162750023115,1,1,0.2882881661392825,0.791235690156249,1,1,0.32060654889706125,0.7589171664736292,1,1,0.006177527495422441,0.0060913404164325,small,0.0061073267396895,small,0.006120367838197249,small,0.006263760897364357,small,0.006247716581889051,small,0.0062347578972736795,small,True
