scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
703,mlpt,0.01,0.3,0.01,0.5,0.00025,-1.544533223540867e-08,False,False,6.659195705970044e-08,False,False,-4.086609717290912e-09,5.931669279091167e-07
704,mlpt,0.01,0.3,0.01,0.75,0.0005,7.271100066486014e-08,False,False,-1.881069893169341e-07,False,False,-2.6629997540442764e-08,1.2648221795474868e-06
704,mlpt,0.01,0.3,0.01,0.75,0.00025,4.151449073397373e-08,False,False,-1.0865251564984974e-07,False,False,-1.355119161328472e-08,1.8048084389210572e-06
720,mlpt,0.01,1.0,0.01,0.25,0.0005,-1.3359212417936653e-07,False,False,3.102778031540451e-07,False,False,-1.5149443089888456e-07,5.42650933993416e-07
720,mlpt,0.01,1.0,0.01,0.25,0.00025,-9.982275010452304e-08,False,False,2.6520507160696506e-07,False,False,-1.4182723618747992e-07,6.808142871544964e-07
721,mlpt,0.01,1.0,0.01,0.5,0.0005,-1.418000732513543e-07,False,False,5.24273398692693e-07,False,False,-1.997254599176324e-07,7.511190180942151e-07
721,mlpt,0.01,1.0,0.01,0.5,0.00025,-1.2383611770603502e-07,False,False,4.706843155217024e-07,False,False,-1.7591994458087128e-07,8.166833790346217e-07
722,mlpt,0.01,1.0,0.01,0.75,0.0005,1.6461241012541254e-08,False,False,-3.3467410659064395e-08,False,False,-6.033850987401763e-09,4.908946309445383e-07
722,mlpt,0.01,1.0,0.01,0.75,0.00025,1.5273081175107544e-07,False,False,-5.439014274906601e-07,False,False,1.3179987422374325e-07,1.0816581580419538e-06
738,mlpt,0.01,3.0,0.01,0.25,0.0005,-5.913768433990236e-08,False,False,1.2365822778122836e-06,False,False,-5.626553190792331e-07,5.002425160771651e-07
