Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
48,246.1449275,125.2391304,259.8188406,153.3115942,267.5869565,185.2391304,160.942029,159.0507246,266.6884058
49,251.9130435,125.4492754,257.384058,152.7173913,257.6449275,182.7898551,161.884058,154.5942029,260.8913043
50,251.826087,129.3333333,253.5362319,152.9637681,250.7173913,182.1086957,161.5507246,150,257.1884058
51,248.6131387,131.3138686,243.7007299,151.1021898,256.7153285,183.1313869,163.0218978,145.3722628,250.620438
52,228.1678832,130.9416058,238.8832117,150.729927,262.5182482,183.5839416,167.3357664,143.6350365,251.9708029
53,225.3043478,127.4637681,238.173913,148.0869565,260.3043478,186.2028986,163.1086957,144.826087,257.6231884
54,229.9640288,123.0935252,239.9496403,145.8201439,255.9784173,183.942446,163.8417266,144.7769784,256.7122302
55,234.7482014,126.9568345,249.618705,149.0215827,256.0791367,182.4100719,167.6978417,145.618705,258.0503597
56,239.9136691,131.8992806,258.4964029,153.6546763,253.3021583,179.8201439,170.1654676,146.3884892,265.381295
57,233.8705036,130.294964,264.9640288,156.1654676,251.9568345,178.7769784,172.6546763,146.1942446,260.6546763
58,241.0359712,127.1510791,269.4748201,153.6330935,257.4172662,177.7194245,173.2877698,148.705036,254.2302158
59,253.4928571,131.7714286,258.5357143,152.7,268.7928571,180.6928571,170.1928571,148.7928571,255.25
60,259.2,131.5857143,251.2428571,154.5571429,277.7642857,184.3642857,165.2,148.6928571,261.7428571
61,239.3900709,126.5035461,262.2978723,155.9716312,280.2269504,187.4609929,164.1347518,150.964539,261.8297872
62,225.6595745,126.9503546,274.0425532,157.3120567,286.2411348,194.3546099,166.3333333,152.9716312,254.7163121
63,217.6382979,131.0992908,263.3829787,156.5531915,293.5602837,200.9361702,162.9078014,150.8794326,257.2553191
64,216.7092199,129.5460993,248.3687943,161.2340426,301.9503546,199.4042553,167.9078014,149.4042553,252.0567376
65,229.951049,131.006993,249.5804196,163.6293706,312.6643357,194.5594406,167.7552448,147.3706294,243.6853147
66,242.4722222,141.8333333,259.2083333,162.2083333,319.6111111,199.9861111,168.2708333,146.7916667,241.7013889
67,255.1164384,148.5616438,263.9452055,159.0136986,320.0890411,205.8013699,170.0684932,148.3219178,240.609589
68,257.6598639,147.2857143,264.1292517,157.3537415,316.1496599,209.9183673,170.9931973,150.3197279,242.829932
69,251.0408163,139.0884354,259.0340136,155.244898,317.1292517,209.6802721,171.5102041,152.6122449,246.8979592
70,243.722973,131.6013514,255.777027,153.722973,318.7027027,208.3783784,172.2364865,155.6013514,245.0945946
71,254.6,130.4933333,258.7866667,155.2666667,320.3733333,213.12,172.5266667,156.3266667,251.06
72,271.7417219,131.1258278,261.2980132,160.6556291,323.6953642,220.9801325,171.6887417,155.1192053,253.8211921
73,286.2715232,133.3245033,266.8145695,168.8211921,332.2251656,217.6556291,175.8145695,152.5033113,245.9735099
74,306.130719,136.6143791,269.7254902,176.4248366,336.4771242,208.2222222,178.5228758,155.5882353,239.875817
75,359.7467532,133.7922078,270.0064935,181.8376623,340.1688312,207.474026,178.9415584,160.038961,237.2272727
76,384.775641,131.6602564,268.7307692,183.2884615,347.4551282,210.275641,181.8269231,158.8461538,234.8653846
77,356.0189873,132.9367089,270.9936709,182.7151899,360.7468354,208.8481013,183.5949367,158.8291139,242.8670886
78,324.41875,132.60625,278.425,179.95625,373.075,207.75625,179.50625,160.24375,252.3375
79,307.7484277,132.3899371,291.8238994,173.7106918,388.8427673,216.4213836,177.8490566,166.0754717,258.1823899
80,289.0062112,136.2484472,302.5217391,167.5714286,397.0621118,221.173913,179.136646,166.7204969,259.0559006
81,284.0496894,142.8447205,317.0621118,166.3229814,399.4285714,226.0062112,180.0434783,166.2857143,261.8198758
82,266.2098765,144.0123457,321.9876543,177.6728395,408.2592593,225.9259259,180.2283951,161.9259259,264.8518519
83,258.6257669,146.7484663,311.8159509,192.7423313,426.3006135,219.5398773,180.6748466,162.0981595,260.3128834
84,263.1226994,163.0184049,307.3128834,195.4355828,436.7300613,217.5828221,185.5153374,161.803681,259.5092025
85,289.402439,182.6646341,307.8658537,196.2621951,428.0121951,213.4390244,190.3414634,162.8109756,255.2378049
86,346.6280488,189.5426829,308.4329268,200.0853659,417.3292683,211.347561,192.75,164.0792683,248.7987805
87,378.4242424,161.6,311.3878788,198.4121212,419.1393939,211.1333333,200.0060606,162.7818182,249.2909091
88,333.9820359,149.497006,311.9520958,196.7844311,426.1556886,211.2994012,205.2934132,163.0179641,246.5269461
89,312.1616766,145.7125749,304.1856287,189.3233533,438.5688623,216.2994012,204.8083832,165.8802395,251.8263473
90,305.0952381,146.6845238,290.0892857,174.0952381,450.3333333,215.625,202.0833333,163.7797619,263.75
91,320.3017751,145.5680473,293.6035503,169.8757396,466.5798817,217.7514793,202.852071,163.7159763,267.8343195
92,342.8579882,142.7810651,300.7928994,168.9230769,475.408284,220.5384615,206.0828402,158.3905325,262.5443787
93,329.6369048,141.9345238,303.4404762,171.6904762,479.7380952,220.5238095,207.0416667,156.2797619,258.4404762
94,308.1360947,145.1242604,307.0473373,171.112426,480.6568047,223.9940828,202.5621302,156.5857988,247.2366864
95,294.1005917,154.0769231,310.3609467,167.8106509,481.3668639,228.7514793,202.7928994,157.1420118,240.0887574
96,310.4023669,156.816568,315.1715976,166.408284,476.3313609,232.4615385,203.4970414,157.4319527,243.9881657
97,340.0591716,150.260355,323.112426,166.0118343,471.3550296,232.260355,203.8816568,155.7514793,240.9289941
98,368.2130178,140.9881657,335.3846154,165.2662722,464.5976331,228.0650888,202.3846154,152.3254438,235.1242604
99,362.1597633,135.0059172,340.6508876,164.035503,463.4911243,225.6745562,194.8934911,149.7869822,233.9289941
100,323.0838323,138.2035928,339.0239521,164.1497006,471.7125749,224.9161677,194.7305389,152.6766467,228.8263473
101,288.8333333,136.7559524,331.2916667,164.4166667,473.7142857,217.4404762,193.6428571,151.4821429,226.2083333
102,278.5621302,133.8639053,327.556213,163.4142012,462.0887574,209.4497041,192.816568,152.7988166,228.0177515
103,267.4251497,138.5269461,325.7305389,162.4730539,455.2934132,208.9221557,194.0598802,154.8203593,230.0359281
