gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit,intron_residual,exon_residual
mlpt,cosine,collapsed,19,1.0,0.8937832446808511,0.951894192375309,0.84863286504445,-0.048105807624690966,-0.04515037963640112
mlpt,cosine,collapsed,20,0.788671875,1.0,0.7933141516904829,0.987405334580324,0.004642276690482894,-0.012594665419676021
mlpt,cosine,collapsed,21,0.05703125,0.18799867021276595,0.06586656754315216,0.2064373646507143,0.008835317543152164,0.01843869443794835
mlpt,cosine,collapsed,22,0.0400390625,0.020985704787234043,0.06487371538097264,0.07074231331538339,0.02483465288097264,0.049756608528149344
mlpt,cosine,collapsed,23,0.0244140625,0.014544547872340425,0.06487242957273616,0.04923201502510416,0.04045836707273616,0.03468746715276373
mlpt,cosine,collapsed,24,0.026171875,0.012965425531914893,0.06487242790765013,0.04582439852362701,0.038700552907650135,0.032858972991712115
mlpt,cosine,mapped,1,0.033984375,0.011968085106382979,0.06487455770162051,0.04518283351390796,0.030890182701620514,0.03321474840752499
mlpt,cosine,mapped,2,0.04296875,0.015458776595744681,0.06487455770162043,0.04518283351390792,0.021905807701620428,0.02972405691816324
mlpt,cosine,mapped,3,0.050390625,0.027925531914893616,0.06487455770162044,0.04518283351390788,0.01448393270162044,0.017257301599014264
mlpt,cosine,mapped,4,0.06328125,0.031914893617021274,0.06560268368494478,0.045398705579915655,0.002321433684944779,0.01348381196289438
mlpt,cosine,mapped,5,0.166796875,0.13131648936170212,0.1576688978818272,0.10011810974611927,-0.009127977118172814,-0.031198379615582847
mlpt,cosine,mapped,6,0.353515625,0.3272938829787234,0.3773097917856765,0.284214606867692,0.023794166785676474,-0.043079276111031406
mlpt,cosine,mapped,7,0.541796875,0.4865359042553191,0.611734001356433,0.5286499638885332,0.06993712635643301,0.04211405963321413
mlpt,cosine,mapped,8,0.79296875,0.7388630319148936,0.7390924695757203,0.7106100039148799,-0.05387628042427972,-0.028253028000013614
mlpt,cosine,mapped,9,0.753515625,0.746841755319149,0.679337921185782,0.7287919809732855,-0.07417770381421807,-0.018049774345863523
mlpt,cosine,mapped,10,0.325390625,0.4875332446808511,0.4432928641183784,0.5507926869467697,0.11790223911837844,0.06325944226591868
mlpt,cosine,mapped,11,0.228515625,0.308344414893617,0.1827877559095245,0.28290061552598506,-0.04572786909047549,-0.02544379936763197
mlpt,cosine,mapped,12,0.105078125,0.19996675531914893,0.0671534447967735,0.09800344931090396,-0.03792468020322649,-0.10196330600824496
mlpt,cosine,mapped,13,0.052734375,0.03058510638297872,0.06487749579970961,0.053580024045454075,0.012143120799709611,0.022994917662475356
mlpt,cosine,mapped,14,0.09296875,0.059175531914893616,0.0648745614899313,0.04651273028913211,-0.0280941885100687,-0.012662801625761506
mlpt,cosine,mapped,15,0.109375,0.07430186170212766,0.06487455770669122,0.04539344811675426,-0.04450044229330878,-0.028908413585373396
mlpt,cosine,mapped,16,0.157421875,0.11486037234042552,0.07225233997372643,0.047844130630167604,-0.08516953502627356,-0.06701624171025791
mlpt,cosine,mapped,17,0.3390625,0.2345412234042553,0.25779525018796146,0.1662588310629631,-0.08126724981203853,-0.06828239234129219
mlpt,cosine,mapped,18,0.51875,0.35505319148936165,0.6158390048577829,0.4798978912811357,0.09708900485778282,0.12484469979177404
mlpt,cosine,mapped,19,1.0,0.8937832446808511,0.9519137959294453,0.8486609415642771,-0.04808620407055475,-0.04512230311657406
mlpt,cosine,mapped,20,0.788671875,1.0,0.7933239260466602,0.9873608892529572,0.004652051046660222,-0.012639110747042825
mlpt,cosine,mapped,21,0.05703125,0.18799867021276595,0.06586436372910999,0.2064332842063835,0.008833113729109991,0.018434613993617538
mlpt,cosine,mapped,22,0.0400390625,0.020985704787234043,0.06487583382764232,0.07073383659677486,0.024836771327642324,0.04974813180954082
mlpt,cosine,mapped,23,0.0244140625,0.014544547872340425,0.06487455934719911,0.04922934070837376,0.040460496847199115,0.03468479283603333
mlpt,cosine,mapped,24,0.026171875,0.012965425531914893,0.06487455770421902,0.045823675226414874,0.03870268270421902,0.03285824969449998
mlpt,gaussian,collapsed,1,0.033984375,0.011968085106382979,0.0542726299841265,0.03677242667923246,0.0202882549841265,0.02480434157284948
mlpt,gaussian,collapsed,2,0.04296875,0.015458776595744681,0.054951381438588694,0.03717092818383332,0.011982631438588694,0.02171215158808864
mlpt,gaussian,collapsed,3,0.050390625,0.027925531914893616,0.059883217176824904,0.04026155131595852,0.009492592176824903,0.012336019401064907
mlpt,gaussian,collapsed,4,0.06328125,0.031914893617021274,0.08448264388711643,0.056871608285017805,0.021201393887116435,0.02495671466799653
mlpt,gaussian,collapsed,5,0.166796875,0.13131648936170212,0.16752079545154766,0.1180946984011196,0.0007239204515476494,-0.013221790960582527
mlpt,gaussian,collapsed,6,0.353515625,0.3272938829787234,0.351917864106288,0.269767521281207,-0.001597760893711997,-0.057526361697516404
mlpt,gaussian,collapsed,7,0.541796875,0.4865359042553191,0.6033282392483493,0.5109631131378165,0.061531364248349374,0.024427208882497387
